Name,Race_Ethnicity,Gender,Donor__Y_N_,Position_Title,Artist,Year_Installed_Dedicated,Notes
Fred L. Kuhlmann,White,Male,Y,"Donor, Alumnus","Gilbert Early, 1995",N/A,"Kuhlmann received his bachelor's and law degrees from the University by 1938. He was the Vice Chairman of the Board of Directors at Anheuser-Busch Companies, Inc. He was also the President of the St. Louis Cardinals from 1990-1991. Kuhlmann provided a gift to the building fund of Anheuser-Busch Hall. He also received the Distinguished Alumni Award from the University in 1987.  "
Janite Lee,Asian,Female,Y,Donor,"Gilbert Early, 1997",N/A,"Immigrated from Korea. Lee won the lottery in 1993 and was given $18 million in winnings. She donated to Washington University School of Law, and has a reading room named in her honor."
Eugene A. and Adlyne Freund,White,Male and Female (couple),Yes,Donor,Tito Gay,N/A,The law library was named in their honor. . 
Whitney and Jane Freund Harris,White,Male and Female (couple),Yes,Donor,Tito Gay,N/A,"Whitney was a prosecutor at the Nuremberg Trials. The Whitney R. Harris World Law Institute is named in his honor. The Harris Award, an annual community service award given to a husband-wife pair, is named in their honor. The award was established in 2000 as part of a bequest made by Jane Freund Harris. "
W.I. Hadley Griffin,White,Male,Y,"LLB '47, LLD '90","Gilbert Early, 1996",N/A,"Alumnus of the School of Law, former Chair of the Board of Trustees. "
George and Carol Bauer,White,Male and Female (couple),Yes,"Donor, Alumni",Photo,2012,
Arthur Holly Compton,White,Male,N,"Professor, Former Chancellor",Unsure,1966,"Compton Laboratory is named in his honor. In 1920, Compton joined the faculty at Washington University. He was a professor of physics and later served as the chair of the physics department. While at the University, he discovered an x-ray scattering effect (known as the ""Compton effect"") which won him the 1927 Nobel Prize in Physics. He directed the Metallurgical Lab at the Manhattan Project from 1942-1945 at the University of Chicago. "
Samuel Cupples,White,Male,Yes,Donor,Unsure,1905?,"Cupples was a business partner of Robert S. Brookings and a woodenware merchant in St. Louis. In 1900, Cupples turned over his company's assets to Washington University, providing $4 million for the construction of Cupples I, Cupples II, and Cupples Engineering Building (has since been torn down). He also served on the Board of Trustees from 1881-1912"
Guido Weiss,White,Male,N,Elinor Anheuser Professor of Mathematics,Gyori Lagos,1995,Portrait bust. Weiss is a Hungarian-American professor of mathematics. He joined the WUSTL faculty in 1961 and served as the chair of the mathematics department from 1967-1970. He won the Chauvenet Prize in 1967 for his book Harmonic Analysis and became a fellow of the American Mathematical Society in 2013. 
Ronald and Karen Rettner,White,Male and Female (couple),Y,"Donor, Alumni",N/A,N/A,Ronald is an alumnus of the University (BA '72). The Ronald and Karen Rettner Gallery -- inside of Lab Sci -- is named in their honor. The gallery honors the Los Alamos Six -- a group of WUSTL chemistry professors who worked on the Manhattan Project. 
Arthur Holly Compton,White,Male,N,"Professor, Former Chancellor",Photograph,N/A,"In 1920, Compton joined the faculty at Washington University. He was a professor of physics and later served as the chair of the physics department. While at the University,  he discovered an x-ray scattering effect (known as the ""Compton effect"") which won him the 1927 Nobel Prize in Physics. He directed the Metallurgical Lab at the Manhattan Project from 1942-1945 at the University of Chicago. Compton eventually returned to WUSTL to serve as the Chancellor from 1945-1953. He held the title of Distinguished Service Professor of Natural Philosophy from 1945 until his death in 1962. "
Roland G. Quest,White,Male,Y,Donor,M. Early (maybe),N/A,"Provided funds, through the Roland Quest Memorial Trust, to restore the organ in Graham Chapel"
Stanley Spector,White,Male,N,Professor,V. Wang,Unsure,Spector was the founder and chair of the Department of Chinese and Japanese (now East Asian Languages and Cultures) from 1962-1973. He held numerous other positions including Chair of the Committee on Asian Studies and Director of International Studies. 
Charles F. Knight,White,Male,Yes,Donor,Gordon Annie Shikles,2001,"Along with his wife Joanne, Charles made many contributions to the Olin Business School and School of Medicine. Charles was the CEO at Emerson Electric Co. for 27 years. The Knights provided key support that helped construct the Siteman Cancer Center. In addition to the Knight Center being named in their honor, Charles also served as a longtime member of the Board of Trustees and the Olin National Council. He has won numerous awards for his service and philanthropy. The Knights have donated at least $15 million to the University."
unsure,,Male,,,,,executive programs suite-unable to get access
Robert and Barbara Frick,White,Male and Female (couple),Yes,"Donor, Alumni",Photo,N/A,"Robert is an alumnus of the University, earning his BS and MBA in 1960 ad 1962, respectively. The couple has donated at least $7 million to support the Olin Business School. Robert has served on the Board of Trustees and Olin Business School National Cabinet. He has also received numerous Alumni Awards from the University. Barbara is a former teacher who worked with Bob to launch a real estate developer operation in Sacramento. They were also partners in in K.E.S. Management Co., which worked to create quality housing for low- to moderate-income residents in the Bay Area."
Charles F. and Joanne Knight,White,Male and Female (couple),Yes,Donor,Photo,"May 2, 2014","Along with his wife Joanne, Charles made many contributions to the Olin Business School and School of Medicine. Charles was the CEO at Emerson Electric Co. for 27 years. The Knights provided key support that helped construct the Siteman Cancer Center. In addition to the Knight Center being named in their honor, Charles also served as a longtime member of the Board of Trustees and the Olin National Council. He has won numerous awards for his service and philanthropy. The Knights have donated at least $15 million to the University. "
Frank and Florence Busch,,Male and Female,Y,,,,Endowed professorship in the School of Art named in their honor.
Arthur Wahl,White,Male,N,Professor,Gilbert Early,N/A,"Wahl was the Henry V. Farr Professor of Radiochemistry from 1952 until his death in 1983. He was a group leader in the chemistry division of the Manhattan Project from 1943-46. While there, he developed a plutonium purification method that is still used today. Wahl was also well-known for proving the existence of element 94 on the periodic table, and was part of a team at Berkeley that discovered plutonium. "
Joseph Kennedy,White,Male,N,Professor,Gilbert Early,N/A,"Served as chair of the Chemistry department at WUSTL. Kennedy was also the head of chemistry and metallurgy in the Manhattan Project. At age 26, he was awarded U.S. Army Medal of Merit. "
Lindsay Helmholz,White,Male,N,Professor,Gilbert Early,N/A,"Professor of Chemistry. His post-war research with graduate student Max Wolfsberg created Wolfsberg-Helmholz theory. Referred to as ""the gentleman-scientist."" One of several WUSTL chemistry professors who worked on the Manhattan Project before joining the faculty. "
David Lipkin,White,Male,N,Professor,Gilbert Early,N/A,"Lipkin was the Eliot Professor Emeritus of Chemistry. He served as the chair of the department of Chemistry from 1964-1971 before retiring in 1980. Before joining the faculty, Lipkin worked on the Manhattan Project in Los Alamos, New Mexico. He made important contributions to the atomic bomb at Nagasaki, creating a nickel-coated protective skin to ensure that it didn't corrode before reaching the Pacific. He was also the first to synthesize cyclic AMP. "
Samuel Weissman,White,Male,N,Professor,Gilbert Early,N/A,"Weissman was a professor of Chemistry at Washington University. Prior to joining the faculty, he worked on the Manhattan Project in Los Alamos, New Mexico. After arriving at  WUSTL in 1946, he pioneered the usage of electron spin resonance in chemistry. Weissman was elected a fellow of the American Academy of Arts and Sciences in 1966 and was elected to the National Academy of Sciences in 1966. "
Herbert Potratz,White,Male,N,Professor,Gilbert Early,2005,Professor of Chemistry. Potratz joined the Manhattan Project as a research associate in 1942. He eventually worked his way up to section chief of the Chemistry Division. He later joined the chemistry faculty at WUSTL. 
Patty Jo Watson,White,Female,N,Distinguished University Professor Emerita,"Gilbert Early, 2003",N/A,Watson is an archaeologist in the Department of Anthropology. She received her PhD from the University of Chicago and devoted her career to studying the archaeology of the Ancient Near East and North America. She was elected to the National Academy of Sciences in 1988 and received numerous other teaching awards. Watson served as the chair of the Anthropology department twice. She retired in 2004. 
John Morris,White,Male,N,"Professor of English Literature, Poet",Patrick Schuchard,1997,"Much of his work was published posthumously, was a member of the distinguished poets and writers at the University from the 60's-90's"
John M. Olin,White,Male,"Y, $1mil in 1956",Former member of the Board of Trustees,William F. Draper,1967,"$1 million donation used for construction of Olin Library of which he is the namesake, former President of Olin Industries and chairman of Olin Mathieson Chemical Corporation"
Jarvis Thurston,White,Male,N,"Professor of English, Former chair of the Department of English",Marion Miller,1993,"Largely responsible for creating the Writing Program at the University, co-founded Perspectives magazine with poet (and wife) Mona Van Duyn, helped discover and attract top-tier writing talent to the University "
Mona Van Duyn,White,Female,N,"Lecturer, Poet, Writer",Marion Miller,1993,"First female U.S. Poet Laureate (1992-93), National Book Award Winner (1971), Pulitzer Prize Winner (1991), Co-founded Perspectives magazine with Professor of English Jarvis Thurston (who was also her husband). Van Duyn and Thurston were largely responsible for attracting top-tier writing talent to the University over the course of their tenure "
Howard Nemerov,White,Male,N,"Professor, Poet, Writer",Marion Miller,1991,"Two-time U.S. Poet Laureate, winner of the 1968 Guggenheim Fellowship, 1978 National Book Award, and 1978 Pulitzer Prize in Poetry. Namesake of Nemerov Scholars and Nemerov House"
James Merrill,White,Male,N,"Poet, Visiting Hirst Professor in the Department of English (1971, 1985)",Guitou Knoop,1954,"Bust, Pulitzer Prize"
Gerald Early,Black,Male,N,"Merle Kling Professor of Modern Letters, Chair of the Department of African and African-American Studies, Award-winning Essayist and Cultural Critic ",Jamie Adams,2007,Star on the St. Louis Walk of Fame 
Stanley Elkin,White,Male,N,"Professor of English and Writing, Former Merle Kling Professor of Modern Letters",Patrick Schuchard,1991,"Two-time winner of the National Book Critics Circle Award (1992, 1995), star on the St. Louis Walk of Fame"
Ralph Morrow (photo),White,Male,Y,"Professor of History, Former University administrator",N/A,NA,"Former Chair of the History Department, Dean of the Graduate School, Provost, and University Historian. Gift was given in his memory by family. Study room named for him in Olin Library. "
William Gass,White,Male,N,"David May Distinguished University Professor Emeritus, writer",Marion Miller,1995,"Founded the Center for Humanities in 1990. Three-time National Book Critics Circle Award winner in 1978, 1996, and 2003. Coined the term ""metafiction"" in his 1970 essay ""Philosophy and the Form of Fiction. "
Donald Finkel,White,Male,N,Poet-in-residence,Barry Schactman,1998,Helped form the Writing Program along with wife Constance Urdang
J. H. Hexter,White,Male,N,"Professor of History (1957-1964), returned in 1990",Anne Green,1990,"Founded the Center for the History of Freedom in 1990, became the John M. Olin Distinguished University Professor of the History of Freedom. Endowed Professorship is named for him -- currently held by Professor Jean Allman. "
Karl D. Umrath,White,Male,Y,Donor,Dorothy Quest,1959,"Umrath and his wife collectively gave $1.5 million to the University, the former dorm Rubelmann was named in honor of his sister, Maurie Rubelmann. "
Helen D. Umrath,White,Female,Y,Donor,Dorothy Quest,1959,"Umrath (nèe Rubelmann) and her husband, Karl Umrath, collectively donated $1.5 million to the University over their lifetime. She is the namesake of Umrath House, and her sister -- Maurie Rubelmann -- is the namesake of former Rubelmann House. "
Edna Fischel Gellhorn,White,Female,N,Activist,J. Scott MacNutt,1940,"Founder and vice-president of the National League of Women Voters. Active in the women's suffrage movement and close with Eleanor Roosevelt. Fought to enact the Missouri minimum wage law and was an advocate for fair labor & employment conditions, Served on numerous committees and associations in St. Louis that helped support these causes. Her friends donated money for an endowed professorship named in her honor. Married to Dr. George Gellhorn."
Scott Rudolph,White,Male,Y,Member of the Board of Trustees,Gilbert Early,2012,"Rudolph and his wife, Pyong, are longtime supporters of the University and are the parents of two WU alumni. Has a professorship named in his honor, and is the namesake of Rudolph Hall. Sits on the Parents Council, National Entrepreneur Council, and Global Engagement Committee. "
George E Kassabaum,White,Male,N,Alumnus ,H R Duhme,?,"Commemorated in the form of a portrait bust. President of the American Institute of Architects and the William Greenleaf Eliot society, former WU trustee, founder of prominent architectural firm Hellmuth Obata & Kassabaum, Inc (co-founders were also WU alumni)"
Constantine (dinos) e Michaelides,White,Male,N,"Professor Emeritus, Former Dean of the School of Architecture",Gilbert Early,1993,"In 1983, elected a Fellow of the American Institute of Architects -- one of the highest honors that can be bestowed upon an architect "
Norman G Moore,White,Male,Y,Alumnus,Gilbert Early,1995,Received a bachelor's degree in architecture. Recipient of the Distinguished Alumni Award in 1993 and Robert S. Brookings Award in 1999. 
Earl E. and Myrtle E. Walker,White,Male and Female (couple),Y,Donor ,W Patrick Shuchard,2006,"CEO (Earl) and Vice President (Myrtle) of Carr Lane Manufacturing Co, namesakes of Walker Hall, established an endowed professorship in mechanical engineering in 1998, won the Robert S. Brookings Award in 1999, established the Walker Scholarship in the School of Art in 2001. In 2002, Earl Walker received an honorary Doctorate of Science degree. "
Mildred Lane Kemper,White,Female,Y,Donor,Ying-He Liu,2006,"Kemper's family donated to name the art museum in her honor. Kemper was a longtime patron of the arts and resident of Kansas City, Missouri. She was also an alumnae and former trustee of Wellesley College. "
Sam and Marilyn Fox,White,Male and Female (couple),Yes,Donor,Ying-He Liu,2006,"The Fox's have given over $22 million to the University. Sam Fox is an alumnus (BU '51) and lifetime and lifetime member of the board of trustees. He is the chairman and CEO of Harbour Group ltd. He is also the Chairman of the St. Louis area Council Boy Scouts of America, Chairman of the United Way of Greater St. Louis campaign, and President of the board of commissioners of the St. Louis Art Museum. Marilyn Fox was the first female President of the Jewish Community Center of St. Louis. She has won numerous awards for her philanthropy and sits on the board of several organizations in St. Louis. Both received an honorary doctorate of public service from SLU in 2000. Namesakes of the School of Art and Architecture. "
Uncas A Whitaker,White,Male,Yes,Donor,Donne Lee,2003,"CEO of AMP, Inc. and namesake of the Whitaker foundation. Upon his death, the Whitaker Foundation provided two grants to the University which helped construct Whitaker Hall and attract top-tier faculty and graduate talent. "
Frank C.P. Yin,Asian,Male,No,"Stephen F. and Camilla T. Brauer Distinguished Professor of Biomedical Engineering, department chair from 1997-2013",Katherine Meredith,2013,Credited with building and strengthening the department of biomedical engineering. Internationally recognized for his contributions to biomechanics and cardiovascular research
Preston M Green,White,Male,Yes,"Alumnus, Donor",Gilbert Early,2011,Received his bachelor's in electrical engineering in 1936. Serves as the President and Chairman of southwest steel supply co. Namesake of Green Hall
Stephen F. and Camilla T. Brauer,White,Male and Female (couple),Yes,Donor ,Gilbert Early,2010,"Stephen is the former chair of the Board of Trustees. He is a member of the School of Engineering and Applied Science National Council, president of Hunter Engineering Company, former United States Ambassador to Belgium (2001-2003), member of St. Louis civic progress, director of Ameren Corporation, past president of the board of the Missouri botanical garden (him). Camilla is the Vice Chair of the United Way of Greater St. Louis, program chair of the WGE society, founding member of Danforth Circle committee, and was the top volunteer fundraiser in US of fundraising executives in 1996. Both are namesakes of Brauer Hall. "
Lee Hunter,White,Male,No,"Honorary alumnus, trustee emeritus, served on washu board of trustees from 1982-86, founder of Hunter Engineering company, posthumously imductef into automotive hall of fame in 1992",Gilbert early,?,Part of Brauer gift was in his honor
Rick and Betty Ryckman,White,Male and Female (couple),No,A.P. Greensfelder Professor of Engineering ,Mills,1998,Commemorated in a photograph. Rick helped build a top program in environmental engineering at the university in the mid 1950s.
Thomas and Jennifer Hillman,White,Male and Female (couple),Yes,"Donor, Alumni",N/A,2015,Commemorated in a photograph. Namesakes of Hillman Hall. Both Thomas (BA '78) and Jennifer (BFA '79) are alumni of the University. Thomas is the former founder and managing partner of FTL Capital Partners. Jennifer is a former owner of a sales promotion and advertising agency. Thomas is a member of the board of trustees while Jennifer is on the University's National Council for Undergraduate Experience. 
Alvin Goldfarb,White,Male,Yes,Donor,Unsure,1998?,Goldfarb and his wife (Jeannette Rudman Goldfarb - Brown School Graduate) were longtime supporters of business and humanities at the University. Founded the Scholars in Business Program at the Olin Business School. Provided a generous gift that helped construct Goldfarb Hall (namesake). The St. Louis Hillel Center was also named in their honor. 
George Warren Brown,White,Male,Yes,"Donor, Former member of the Board of Directors",Unsure,1937,"Established the first successful wholesale shoe manufacturing company in STL, brought $500k in assets to the University to fund the School of Social Work"
Bettie Bofinger Brown,White,Female,Yes,Donor,Unsure,1937,"Established the School of Social Work in memoriam to her husband, George Warren Brown"
Robert S. Brookings,White,Male,Yes,Served as the President of the Board of Trustees for 33 years,Richard Emile Miller,1905 or 1928,Donated $200k to WU to construct an administrative building (Brookings Hall). Founder of the Brookings Institute. 
"William Greenleaf Eliot, Sr.",White,Male,No,Former Chancellor of WU,James Reid Lambdin,1969,"Painted in 1853, gifted in memory of William Eliot Smith from his family in 1969. Co-founded Washington University (then known as Eliot Seminary) in 1853 with Wayman Crow. Organized the first fundraising campaign and built the University's endowment. Served as the first President in 1854 and was named the third Chancellor in 1871. "
Bob and Julie Skandalaris,White,Male and Female (couple),Yes,Donor,N/A,Unsure,"Commemorated in a photograph. Parents of an alumnae. Established the Skandalaris Entrepreneurship Program in 2001 and the Skandalaris Center for Entrepreneurial Studies in 2003. In 2008, established the Skandalaris Entrepreneurial Summer Internship Program. Bob is the chairman and CEO of Quantum Ventures of Michigan, LLC. Julie has served in leadership roles at the Detroit Country Day School and is engaged in philanthropic initiatives. "
Andrew H. and Ann Rubenstein Tisch,White,Male and Female (couple),Yes,"Donor, Alumni",Unsure,Unsure,"Photograph. Ann is an alumnae (BA '76) of the University and a longtime member of the Board of Trustees. Former broadcast journalist for several outlets, including NBC Network News. She is the founder and president of the Young Women's Leadership Network, which creates and manages all-girls inner-city public schools. She is also the founder of the CollegeBound Initiative. Andrew is co-chairman of the board and chairman of the executive committee of Loews Corporation. He is a Cornell graduate and has served on the board for its medical school, business school, and college. "
James E. McLeod,Black,Male,N,"Professor, University Administrator",Unsure,Unsure,"Dean McLeod arrived at the University as an assistant professor of German. He held numerous administrative positions including: assistant dean of the Graduate School (1974-77), assistant to Chancellor Danforth (1977-1987), director of the program (now department) of African and African-American Studies (1987-1992), vice chancellor for students and dean of the College of Arts and Sciences (1992-2011). McLeod also served as the dean of the John B. Ervin Scholars Program. McLeod Way on the South 40 and the McLeod Conference Room in Cupples II is also named in his honor. McLeod won numerous awards for his service. "
Isadore Edward (I.E.) Millstone,White,Male,Yes,"Donor, Life Trustee, Alumnus",Unsure,Unsure,"Wall relief. Millstone is a St. Louis native who graduated from the University in 1927 with a degree in engineering. He founded Millstone Construction, Inc., and was the president of K & M Investors. Millstone is a longtime donor to the University. The Millstone Pool in the Athletic Complex is also named in his honor, as is Millstone Lounge in the DUC. "
William and Elizabeth Gray Danforth,White,Male and Female (couple),No,Chancellor Emeritus,Unsure,2008,The Danforth Foundation made a gift in their honor to build the Danforth University Center. William initially joined the University as a professor at the Medical School. Danforth also served as vice chancellor under Chancellor Thomas Eliot before becoming 13th Chancellor in 1971. He was named Chancellor Emeritus in 1999. 
John and Stephanie Brooks Dains,White,Male and Female (couple),Y,"Donor, Alumni",Unsure,Unsure,"Photograph. Both John (BSBA '68) and Stephanie (AB '69) are alumni of the University. They endowed the Dains Scholarship in the Olin School in 2010, and established the Dains Sr. Scholarship to assist students from Arkansas. The couple has donated upwards of $5 million to the University. The dining hall inside of the DUC is named in their honor. "
John E. Simon,White,Male,Y,Donor,Unsure,1986?,He is the namesake of Simon Hall. Simon served as the General Partner of Simon and Co. Investment Company. Simon established an endowed professorships and has donated funds to other areas of the University. 
Al Kopolow,White,Male,Y,Donor,Unsure,Unsure,Namesake of the Kopolow Business Library. 
John M. Olin,White,Male,Y,"Donor, Fmr. Trustee, Western Cartridge Company, Chairman of Olin Corporation",,1988,$1 million donation used for construction of Olin Library of which he is the namesake. Olin is also the namesake of the Business School. He is the former President of Olin Industries and chairman of Olin Mathieson Chemical Corporation.
Harry and Susan Seigle,White,Male and Female (couple),Y,Donor,Unsure,2008,"This building is the first academic building to be named after an alumnus living outside of St. Louis. Harry Seigle received his bachelor's degree in in 1968. The Seigles made a $10 million commitment to construct the building. Harry has served in numerous positions, including as a trustee. Numerous other spaces and funds on campus are also named for the Seigles. He founded several lumber businesses and material supplier companies. "
Gary M. Sumers,White,Male,Y,"Donor, Alumnus",N/A,2016,"Photograph. Sumers received his bachelor's degree from the University in 1975 Phi Beta Kappa. Sumers is COO and Senior Managing Director of The Blackstone Group. He is also a member of the Board of Trustees and has established numerous in scholarships in memory of his mother, Joan. "
Art and Marge McWilliams,White,Male and Female (couple),Y,"Donors, Alumni",N/A,N/A,Photograph. Both are St. Louis natives. Art received his BSBA degree from the University. They are longtime supporters of WU athletics and are scholarship sponsors at the Olin Business School. Art serves on the University's W Club Executive Committee. 
Paul Tietjens,White,Male,N,Pianist and Composer known for writing the music for the original stage production of The Wizard of Oz in 1902,Unsure,1975,Otto Tietjens included a bequest for this building in his will. The Tietjens Memorial Music Studio was built in 1974
Avis Blewett,White,Female,Y,"Church organist, organ instructor at Vassar College, and opened her studio in St. Louis",Unsure,1946?,Gift allowed WU to repurchase the fmr. Chancellor's home and turn it into a building to house the Music Department. Also donated the church organ inside of Graham Chapel.
Benjamin Blewett?,White,Male,Y,"Donor, Alumnus, Fmr. Superintendent of STL Public Schools",Unsure,1946?,"Donated part of his estate to WU after his death. Blewett received his bachelor's and master's degrees from the University in 1876 and 1878, respectively. He was a teacher and eventually served as the Superintendent of St. Louis Public Schools. He also donated $50,000 to establish the Jessie Parsons Blewett Fund to support teacher education. "
Roger Weston,White,Male,Y,"Donor, Alumnus",Unsure,Unsure,"Weston is an alumnus of the University, graduating with his MBA in 1967. He served as the founder and chairman of GreatBanc, Inc. His support allowed the Weston Career Center to be established in the 1980s. He is a member of Olin's National Council. "
John M. Olin,White,Male,Y,Donor,Unsure,Unsure,"Olin School of Business is named in his honor. Olin served on the Board of Trustees for nearly 40 years, serving until his death in 1982. He personally provided nearly $6 million in funding, and the Olin Foundation has given at least $18 million. The Olin Library is also named in his honor. "
Patrick McGinnis,White,Male,Y,"Donor, Alumnus",Unsure,Unsure,"Former CEO of Nestle Purina Petcare for the Americas. Earned his MBA from Washington University in 1972. Endowed a professorship in marketing in 2002. Former board member. Won two distinguished alumni awards in 1993 and 1999, respectively. "
Julian Edison,White,Male,Y,Donor,Unsure,Unsure,Chairman of his family's company --- Edison Shoe Company. Edison helped found the Associates of St. Louis Libraries. Avid reader and collector of books. The Olin Library Special Collections is named in his honor.
Jack and Debbie Thomas,White,Male and Female,Y,Donor,N/A,2018,"Photograph. The Thomas Gallery, featuring museum-quality exhibit spaces, in Olin Library is named in their honor. Endowed a lecture series to promote the discussion of library and technology-related topic. Jack is a member of the Board of Trustees and is the chairman of WU Libraries' National Council. "
Risa Zwerling Wrighton,White,Woman,N,"Alumnae, Wife of Chancellor Wrighton",Unsure,2018,Gift was made in her honor to name Risa's Landing -- a third floor reading room -- in her name. Wrighton earned her master's in business administration from the University in 1989 and engages actively in the University community. 
Maxine Clark and Bob Fox,White,Male and Female,Y,Donors,Unsure,Unsure,"The policy institute and forum in Hillman Hall at the Brown School are named in their honor, following a $7.5 million donation They also provided an additional $540,000 to fund a cohort of Civic Scholars.. Bob and Maxine are co-founding donors of Teach For America-St. Louis and KIPP charter schools in the St. Louis area. Clark is the founder of Build-A-Bear Workshops and holds several positions in University leadership, including serving as a trustee. Fox is the owner and chief executive of NewSpace, Inc. and founded Casa de Salud. "
Peggy Newman,White,Woman,Y,Donor,Unsure,Unsure,"Associated with a Newman Foundation gift that named three spaces in the DUC (Edison Courtyard, Ibby's, Orchid Room)"
Lucy and Stanley Lopata,White,Male and Female,Y,"Donor, Alumni",Unsure,1981,"Stanley graduated from Washington University in 1935. Both Lucy and Stanley co-founded Carboline Corporation. Several spaces on the Danforth Campus are named in their honor, including Lopata Hall, Lopata Plaze, and Lopata Courtyard in Simon Hall. The Lopatas were longtime supporters of the School of Engineering. "
Lucy and Stanley Lopata,White,Male and Female,Y,"Donor, Alumni",Unsure,2001,"Stanley graduated from Washington University in 1935. Both Lucy and Stanley co-founded Carboline Corporation. Several spaces on the Danforth Campus are named in their honor, including Lopata Hall, Lopata Plaze, and Lopata Courtyard in Simon Hall. "
James S. McDonnell,White,Male,Y,Donor,Unsure,1993,Served in the U.S. Army Air Corps Reserve and was one of the first men to create the packed-parachute jumps. Founded his own aircraft company in St. Louis and remained a world leader in the production of commercial and military aircrafts. McDonnell established a professorship in 1964 and the McDonnell Center for the Space Sciences in 1975. McDonnell Hall was dedicated in his honor in 1993. 
Nathan Dardick,White,Male,Unsure,Alumnus,Unsure,2006,"Dardick graduated from the University in 1971 with a bachelor's degree. As a student, he was an RA and dorm president for Eliot Hall. He served as a member of the executive committee of the University's Parent Council. Dardick was named in his honor. "
John C. Danforth,White,Male,N,Former Senator and Ambassador,Unsure,Unsure,Danforth Foundation provided a gift to the University in 2009 to establish the Danforth Center for Religion and Politics named in John's honor. John is a former Senator from Missouri and former U.S. Ambassador to the United Nations. He is a member of the center's National Advisory Board and has written several books on religion and politics. 
Milda Balch,,Female,Y,Alumnae,Unsure,Unsure,
Sayde G. Edison,White,Female,Y,Donor,Unsure,1973,"Edison was the primary donor for Edison Theatre's construction. She made the gift in honor of her husband and son, Samuel B. and Charles B. Edison. "
Samuel B. Edison,White,Male,N,Namesake of Edison Theatre,Unsure,1973,"Wife, Sayde Edison, made a gift in honor of him and their son, Charles, that allowed the University to construct Edison Theatre. Samuel founded the Edison Shoe Company with his brothers in 1922. The company went public in 1929 and moved to St. Louis. "
Angel and Paul Harvey,White,Male and Female (couple),Yes,"Donor, Alumni",Unsure,Unsure,"Both Angela and Paul are the namesakes of the Harvey Media Center. Angela is an alumnae of the University. She received a bachelor's and master's degree in English, along with an honorary doctor of humanities degree in 1998. Paul is known for his successful career in broadcasting. He hosted ""News and Comment,"" a successful show on ABC Radio Network. Paul is a five-time Marconi Radio Award winner, and was inducted into the National Radio Hall of Fame in 1990. Paul was awarded the Presidential Medal of Freedom in 2005, the nation's highest civilian honor. "
William McMillan,White,Male,Y,Donor ,Unsure,Unsure,"McMillan Hall was named in honor of William by his wife Eliza P. McMillan. He established several businesses, including Missouri Car & Foundry Company. William and his wife donated $100,000 to the Mary Institute, a school formerly run by Washington University. "
Betty McCloskey Compton,White,Female,N,Wife of former Chancellor Arthur Holly Compton,Unsure,Unsure,
